
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1316
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4156
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       940
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       944
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2468
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2952
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       464
  TCP    0.0.0.0:61223          0.0.0.0:0              LISTENING       23260
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4056
  TCP    127.0.0.1:5354         127.0.0.1:49671        ESTABLISHED     4056
  TCP    127.0.0.1:5354         127.0.0.1:49672        ESTABLISHED     4056
  TCP    127.0.0.1:9222         0.0.0.0:0              LISTENING       10184
  TCP    127.0.0.1:9222         127.0.0.1:56248        ESTABLISHED     10184
  TCP    127.0.0.1:9222         127.0.0.1:56255        ESTABLISHED     10184
  TCP    127.0.0.1:9222         127.0.0.1:62196        ESTABLISHED     10184
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       4012
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING       20896
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       2688
  TCP    127.0.0.1:49539        0.0.0.0:0              LISTENING       12352
  TCP    127.0.0.1:49539        127.0.0.1:49540        ESTABLISHED     12352
  TCP    127.0.0.1:49540        127.0.0.1:49539        ESTABLISHED     25976
  TCP    127.0.0.1:49671        127.0.0.1:5354         ESTABLISHED     4012
  TCP    127.0.0.1:49672        127.0.0.1:5354         ESTABLISHED     4012
  TCP    127.0.0.1:50105        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:50125        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50126        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50127        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50128        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50129        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50130        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50132        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50133        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50138        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50139        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50140        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:50141        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50142        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50143        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50144        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50145        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50146        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50147        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50149        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50150        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50151        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50152        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50153        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:50154        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:51190        127.0.0.1:9222         TIME_WAIT       0
  TCP    127.0.0.1:52124        127.0.0.1:60278        ESTABLISHED     12352
  TCP    127.0.0.1:52625        127.0.0.1:60285        ESTABLISHED     12352
  TCP    127.0.0.1:52827        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:52828        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:52829        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:52830        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:52866        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:56248        127.0.0.1:9222         ESTABLISHED     22156
  TCP    127.0.0.1:56255        127.0.0.1:9222         ESTABLISHED     25976
  TCP    127.0.0.1:59577        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59578        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59579        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59580        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59581        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59582        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59583        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59584        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59585        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59586        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59587        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59588        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59590        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59591        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59594        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:59596        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59597        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59598        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59599        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59600        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59602        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59603        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59604        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59605        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59606        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59608        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59609        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59610        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59613        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59614        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59615        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59616        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59617        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59619        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59620        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59621        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59622        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59623        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59624        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:59625        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:60267        0.0.0.0:0              LISTENING       12352
  TCP    127.0.0.1:60267        127.0.0.1:50105        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:50108        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:50124        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:50131        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:50137        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:50140        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:52827        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:52828        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:52829        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:52830        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:52866        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:59576        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:59594        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:59601        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:59607        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:59611        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:59618        TIME_WAIT       0
  TCP    127.0.0.1:60267        127.0.0.1:59625        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:60286        ESTABLISHED     12352
  TCP    127.0.0.1:60267        127.0.0.1:60287        ESTABLISHED     12352
  TCP    127.0.0.1:60278        0.0.0.0:0              LISTENING       25976
  TCP    127.0.0.1:60278        127.0.0.1:52124        ESTABLISHED     25976
  TCP    127.0.0.1:60278        127.0.0.1:65110        ESTABLISHED     25976
  TCP    127.0.0.1:60279        0.0.0.0:0              LISTENING       25976
  TCP    127.0.0.1:60279        127.0.0.1:50134        TIME_WAIT       0
  TCP    127.0.0.1:60279        127.0.0.1:50136        TIME_WAIT       0
  TCP    127.0.0.1:60279        127.0.0.1:59592        TIME_WAIT       0
  TCP    127.0.0.1:60279        127.0.0.1:59595        TIME_WAIT       0
  TCP    127.0.0.1:60285        0.0.0.0:0              LISTENING       25976
  TCP    127.0.0.1:60285        127.0.0.1:52625        ESTABLISHED     25976
  TCP    127.0.0.1:60286        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:60287        127.0.0.1:60267        ESTABLISHED     25976
  TCP    127.0.0.1:62196        127.0.0.1:9222         ESTABLISHED     25976
  TCP    127.0.0.1:65110        127.0.0.1:60278        ESTABLISHED     25724
  TCP    192.168.100.188:139    0.0.0.0:0              LISTENING       4
  TCP    192.168.100.188:49275  142.250.202.10:443     ESTABLISHED     25976
  TCP    192.168.100.188:49276  142.250.201.106:443    ESTABLISHED     25976
  TCP    192.168.100.188:49489  20.249.115.161:443     ESTABLISHED     12940
  TCP    192.168.100.188:49527  142.250.187.74:443     ESTABLISHED     25976
  TCP    192.168.100.188:50111  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.100.188:50122  104.16.0.34:443        ESTABLISHED     18392
  TCP    192.168.100.188:50135  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.100.188:50148  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.100.188:50221  142.250.200.174:443    TIME_WAIT       0
  TCP    192.168.100.188:50847  64.233.166.188:5228    ESTABLISHED     6448
  TCP    192.168.100.188:51101  2.16.154.56:443        ESTABLISHED     10204
  TCP    192.168.100.188:51584  104.16.102.112:443     ESTABLISHED     6448
  TCP    192.168.100.188:51713  3.230.211.154:443      ESTABLISHED     1996
  TCP    192.168.100.188:51973  142.250.187.67:443     TIME_WAIT       0
  TCP    192.168.100.188:52821  216.239.38.223:443     ESTABLISHED     25976
  TCP    192.168.100.188:55304  4.213.25.242:443       ESTABLISHED     4640
  TCP    192.168.100.188:55736  57.144.149.32:443      ESTABLISHED     6448
  TCP    192.168.100.188:58926  52.182.143.208:443     TIME_WAIT       0
  TCP    192.168.100.188:59575  142.251.37.74:443      ESTABLISHED     25544
  TCP    192.168.100.188:59589  104.16.0.34:443        ESTABLISHED     25504
  TCP    192.168.100.188:59593  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.100.188:59612  34.54.84.110:443       ESTABLISHED     25976
  TCP    192.168.100.188:60216  20.189.173.27:443      ESTABLISHED     25724
  TCP    192.168.100.188:60394  142.250.187.67:443     TIME_WAIT       0
  TCP    192.168.100.188:61400  104.16.102.112:443     ESTABLISHED     6448
  TCP    192.168.100.188:62360  140.82.113.26:443      ESTABLISHED     6448
  TCP    192.168.100.188:62565  142.250.110.188:5228   ESTABLISHED     25544
  TCP    [::]:135               [::]:0                 LISTENING       1316
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       940
  TCP    [::]:49665             [::]:0                 LISTENING       944
  TCP    [::]:49666             [::]:0                 LISTENING       2468
  TCP    [::]:49667             [::]:0                 LISTENING       2952
  TCP    [::]:49669             [::]:0                 LISTENING       3772
  TCP    [::]:49673             [::]:0                 LISTENING       464
  TCP    [::]:61223             [::]:0                 LISTENING       23260
  TCP    [::1]:42050            [::]:0                 LISTENING       17060
  TCP    [::1]:49670            [::]:0                 LISTENING       4176
  UDP    0.0.0.0:123            *:*                                    14716
  UDP    0.0.0.0:3702           *:*                                    2708
  UDP    0.0.0.0:3702           *:*                                    2708
  UDP    0.0.0.0:5050           *:*                                    4156
  UDP    0.0.0.0:5353           *:*                                    14160
  UDP    0.0.0.0:5353           *:*                                    6448
  UDP    0.0.0.0:5353           *:*                                    15580
  UDP    0.0.0.0:5353           *:*                                    10184
  UDP    0.0.0.0:5353           *:*                                    10184
  UDP    0.0.0.0:5353           *:*                                    14160
  UDP    0.0.0.0:5353           *:*                                    2564
  UDP    0.0.0.0:5353           *:*                                    6448
  UDP    0.0.0.0:5353           *:*                                    15580
  UDP    0.0.0.0:5355           *:*                                    2564
  UDP    0.0.0.0:49666          *:*                                    4056
  UDP    0.0.0.0:54902          *:*                                    2708
  UDP    0.0.0.0:58169          *:*                                    2564
  UDP    0.0.0.0:64092          *:*                                    2564
  UDP    0.0.0.0:64992          172.64.146.215:443                     14160
  UDP    0.0.0.0:65449          *:*                                    2564
